,year,month,date,client_id_num,client_id,cusip_num,cusip,broker_name_num,broker_name,si_firm_id,si_primary_firm_name,fds_broker_id,sale,redemption,unique_zip_count,hoa_sale,hoa_redemption,hoa_unique_zip_count,hhoa,home_office_activity,sale_std_dev_from_mean,redemption_std_dev_from_mean,unique_zip_count_std_dev_from_mean,day_of_week,fund_id,hoa_last_year
22155,2018.0,2.0,2018-02-02,24,PIMCO,4866,693390700,1998,Wells Fargo Advisors (PCG),83333,"WELLS FARGO ADVISORS, LLC",LMS46910,26670097.8502,-211665.11,62,26670097.8502,-218716.6601,65.0,1.0,1,2.1792496528426835,0.4988597628359194,1.3389868873277997,4,FSUSA001ZG,1
22344,2018.0,2.0,2018-02-07,24,PIMCO,5004,72201M719,154902,LPL Financial Corporation (Firm),2400,LPL FINANCIAL LLC,LMS26830,5341124.5,-43539268.2198,203,0.0,-43539268.2198,97.0,1.0,1,0.1120571952132984,-14.694317335030307,0.9255383922629548,2,FSUSA07XD8,1
22501,2018.0,2.0,2018-02-09,24,PIMCO,4883,693390601,174017,Chase Wealth Management,57,J.P. MORGAN SECURITIES LLC,LMS24110,511038.4,-57924829.3505,1622,0.0,-57924829.3505,1621.0,1.0,1,-0.8886846538178338,-3.193842601676393,1.2696698520882246,4,FSUSA001ZH,1
22652,2018.0,2.0,2018-02-13,24,PIMCO,23769,72201U828,37386,Sierra Investment Management Inc,15882,SIERRA INVESTMENT MANAGEMENT INC,LMS528710,55853456.44,0.0,1,55853456.44,0.0,1.0,1.0,1,2.153042207295996,0.4950538030897119,0.0,1,FS00009EHG,0
22757,2018.0,2.0,2018-02-15,24,PIMCO,4883,693390601,174017,Chase Wealth Management,57,J.P. MORGAN SECURITIES LLC,LMS24110,40477993.2203,-50468.62,1569,40477993.2203,-50468.62,1569.0,1.0,1,2.4506588331600856,0.2786478194027324,1.0270606301336809,3,FSUSA001ZH,1
23048,2018.0,2.0,2018-02-23,24,PIMCO,4944,722005626,162,UBS Financial Services Inc,3614,UBS FINANCIAL SERVICES INC.,LMS44920,0.0,-64220137.6199,1,0.0,-64220137.6199,1.0,1.0,1,-0.4472135954999579,-1.7410138670109372,-0.9561828874675148,4,FSUSA00HA4,0
23063,2018.0,2.0,2018-02-26,24,PIMCO,4946,693390882,33199,Advance Capital Management Inc,19724,ADVANCE CAPITAL MANAGEMENT INC,LMS66340,151338.1,-64646562.76,1,0.0,-64646562.76,1.0,1.0,1,-0.3425257448580878,-2.262775542646306,-0.3779644730092271,0,FSUSA00203,1
23081,2018.0,2.0,2018-02-26,24,PIMCO,23720,72201F490,183,Securities America Inc,4059,"SECURITIES AMERICA, INC.",LMS38900,831127.25,-21756957.43,45,0.0,-21756957.43,24.0,1.0,1,-0.6569544627789221,-6.518557273426599,1.0641719445960125,0,FSUSA07XD8,1
23712,2018.0,3.0,2018-03-15,24,PIMCO,4879,693391104,174017,Chase Wealth Management,57,J.P. MORGAN SECURITIES LLC,LMS24110,222688.03,-37596246.3299,1557,0.0,-37596246.3299,1556.0,1.0,1,-1.852380293194778,-2.184887698603628,1.5478735083184028,3,FSUSA0041O,0
24042,2018.0,3.0,2018-03-27,24,PIMCO,28500,72201U638,154888,National Financial Services Co.,4795,"NATIONAL FINANCIAL SERVICES, LLC",LMS420300,86553985.68,-73900.89,2,86553985.68,-73900.89,2.0,1.0,1,0.0,0.0,0.0,1,FS00009OHZ,1
